fiber_type,resin_type,density_g_cm3,layer_count,curing_temperature_c,fiber_volume_fraction,void_content_pct,tensile_strength_mpa
Carbon,Phenolic,1.5,7,111.2,0.4,2.01,1475.3
Carbon,Vinyl Ester,1.5,10,127.4,0.59,0.83,2477.7
Basalt,Vinyl Ester,1.9,6,136.3,0.39,1.07,990.6
Basalt,Polyester,1.73,18,126.3,0.6,2.44,1457.2
Glass,Polyester,2.04,7,63.4,0.6,3.07,548.9
Carbon,Epoxy,1.49,21,119.5,0.56,1.94,3301.2
Basalt,Polyester,1.41,16,80.5,0.39,2.61,956.9
Aramid,Polyester,1.67,18,62.7,0.35,2.88,1117.2
Glass,Vinyl Ester,1.85,20,139.2,0.57,1.08,1423.8
Basalt,Vinyl Ester,1.84,18,148.9,0.37,1.75,1468.3
Aramid,Phenolic,1.87,13,81.1,0.37,2.21,1221.3
Aramid,Vinyl Ester,1.66,14,95.5,0.35,2.28,1384.3
Carbon,Vinyl Ester,1.6,24,98.2,0.46,3.37,2077.2
Carbon,Epoxy,1.71,15,137.4,0.64,2.13,3181.5
Basalt,Phenolic,1.94,21,91.1,0.54,2.51,1376.9
Glass,Vinyl Ester,1.46,8,91.0,0.64,1.5,909.9
Aramid,Epoxy,1.46,15,117.0,0.6,1.68,2300.2
Aramid,Vinyl Ester,2.16,19,112.8,0.44,3.46,1459.9
Glass,Polyester,1.69,14,98.7,0.67,1.6,1041.8
Carbon,Epoxy,1.82,22,104.9,0.5,1.28,3425.7
Basalt,Epoxy,1.55,19,99.5,0.44,0.93,1888.2
Basalt,Epoxy,1.56,6,114.4,0.41,1.33,1127.5
Aramid,Polyester,1.73,23,65.4,0.5,0.68,1840.9
Aramid,Phenolic,1.79,18,73.4,0.39,0.64,1663.0
Glass,Polyester,2.16,18,117.7,0.38,1.16,1055.1
Basalt,Phenolic,1.55,18,121.7,0.37,1.78,1338.9
Carbon,Polyester,2.13,21,152.9,0.6,2.83,2428.7
Basalt,Polyester,2.03,7,75.2,0.65,0.8,1058.4
Carbon,Phenolic,1.5,13,159.3,0.56,0.87,2749.5
Aramid,Polyester,1.93,17,142.7,0.53,3.08,1458.8
Aramid,Phenolic,2.1,8,93.3,0.54,1.64,1275.0
Aramid,Polyester,1.72,7,147.9,0.6,3.13,1073.9
Glass,Vinyl Ester,1.72,7,61.0,0.45,1.64,678.2
Glass,Phenolic,1.44,19,140.3,0.48,0.97,1264.6
Carbon,Vinyl Ester,2.19,11,115.1,0.51,0.51,2483.0
Glass,Vinyl Ester,1.88,12,75.3,0.63,1.61,1059.4
Carbon,Epoxy,2.14,14,152.1,0.43,3.43,2339.3
Basalt,Phenolic,1.76,18,63.3,0.61,1.58,1386.8
Carbon,Epoxy,1.86,10,77.7,0.49,0.97,2534.2
Carbon,Polyester,1.73,7,114.4,0.48,3.17,1261.0
Aramid,Vinyl Ester,1.46,21,76.4,0.53,1.57,1903.0
Aramid,Polyester,2.15,19,99.0,0.52,2.28,1563.6
Aramid,Polyester,2.08,13,70.2,0.57,2.62,1209.6
Glass,Epoxy,1.81,15,108.3,0.68,1.39,1495.0
Glass,Epoxy,2.12,12,128.7,0.46,2.2,1103.7
Basalt,Epoxy,1.51,6,107.2,0.67,2.77,1136.0
Carbon,Polyester,2.18,6,101.6,0.47,1.84,1338.7
Aramid,Epoxy,1.53,11,113.5,0.49,2.86,1587.7
Basalt,Polyester,1.91,18,156.4,0.48,2.49,1355.1
Aramid,Phenolic,1.66,17,78.8,0.64,0.6,1973.2
Carbon,Phenolic,1.45,19,147.2,0.56,2.22,2612.2
Aramid,Epoxy,1.79,20,73.4,0.51,2.37,1948.9
Aramid,Polyester,2.05,15,76.7,0.52,2.58,1289.2
Glass,Phenolic,2.0,14,79.6,0.4,2.84,756.0
Aramid,Epoxy,2.16,9,129.3,0.53,1.08,1896.5
Aramid,Vinyl Ester,1.49,18,72.6,0.45,2.29,1491.0
Basalt,Phenolic,1.71,14,84.4,0.59,2.71,1132.7
Carbon,Epoxy,2.16,19,132.7,0.43,0.72,3498.2
Basalt,Polyester,1.85,16,112.5,0.63,1.53,1452.0
Carbon,Polyester,1.63,7,117.5,0.49,1.98,1476.1
Carbon,Phenolic,1.59,8,89.2,0.49,2.0,1578.7
Glass,Phenolic,1.63,15,67.4,0.58,1.02,1025.5
Glass,Vinyl Ester,2.13,21,142.3,0.44,0.92,1347.1
Basalt,Polyester,1.7,14,131.0,0.44,0.56,1381.1
Glass,Phenolic,1.76,11,73.4,0.53,1.2,903.5
Glass,Polyester,1.76,17,74.3,0.46,3.0,772.4
Glass,Epoxy,2.02,12,125.1,0.5,1.6,1247.3
Carbon,Polyester,2.12,16,73.9,0.65,3.32,1766.9
Aramid,Phenolic,1.96,16,127.8,0.47,3.13,1495.3
Carbon,Vinyl Ester,1.76,20,120.2,0.36,0.51,2812.7
Glass,Epoxy,1.82,7,109.2,0.62,2.12,1013.9
Carbon,Vinyl Ester,1.77,17,127.3,0.52,1.03,2855.5
Glass,Epoxy,1.65,22,79.0,0.45,2.61,1171.6
Basalt,Epoxy,2.06,17,158.3,0.48,3.22,1547.6
Aramid,Polyester,1.73,8,148.8,0.37,2.38,1124.1
Aramid,Epoxy,1.54,12,123.0,0.49,2.02,1879.7
Aramid,Epoxy,1.58,13,126.3,0.37,2.37,1720.3
Basalt,Polyester,1.47,23,135.3,0.44,2.94,1299.0
Carbon,Vinyl Ester,1.77,9,70.2,0.47,0.71,1948.5
Glass,Vinyl Ester,1.61,15,145.1,0.66,1.3,1380.5
Basalt,Epoxy,1.61,24,100.8,0.48,2.67,1727.0
Aramid,Epoxy,1.7,19,147.5,0.39,1.87,2281.8
Basalt,Vinyl Ester,1.98,12,141.5,0.36,1.45,1294.0
Aramid,Polyester,1.72,12,137.1,0.4,0.97,1539.3
Carbon,Vinyl Ester,1.86,8,127.1,0.36,3.31,1417.8
Aramid,Epoxy,1.86,23,85.9,0.67,1.43,2645.8
Aramid,Vinyl Ester,1.68,21,141.9,0.58,1.16,2361.1
Glass,Epoxy,1.49,8,78.5,0.42,3.07,733.7
Carbon,Polyester,2.09,24,134.3,0.36,2.28,2287.2
Aramid,Polyester,2.1,8,94.6,0.65,1.05,1381.0
Glass,Epoxy,1.54,13,71.2,0.42,2.54,960.8
Glass,Phenolic,1.87,21,70.5,0.65,2.01,1109.5
Glass,Polyester,1.99,12,89.5,0.65,2.74,840.5
Basalt,Phenolic,1.81,6,81.9,0.58,0.63,993.2
Basalt,Epoxy,1.94,7,82.2,0.66,2.52,1092.6
Carbon,Polyester,1.86,16,108.4,0.66,3.47,1911.7
Aramid,Vinyl Ester,1.88,15,69.7,0.4,1.07,1618.6
Carbon,Epoxy,1.76,13,118.0,0.67,2.87,2596.1
Glass,Polyester,2.11,7,109.0,0.54,2.01,654.3
Carbon,Polyester,1.96,13,72.9,0.65,2.7,1804.0
Carbon,Epoxy,2.11,10,145.5,0.64,1.7,2898.7
Aramid,Phenolic,2.17,7,89.2,0.52,2.92,986.6
Glass,Vinyl Ester,2.03,7,98.8,0.69,0.7,966.2
Basalt,Phenolic,1.99,15,63.6,0.7,3.44,1073.9
Aramid,Epoxy,1.63,21,80.5,0.4,2.59,1775.7
Aramid,Phenolic,1.62,14,133.8,0.52,1.51,1828.7
Glass,Vinyl Ester,1.94,8,64.4,0.43,3.2,574.0
Carbon,Vinyl Ester,1.65,6,119.0,0.43,1.15,1651.7
Carbon,Phenolic,2.13,23,97.4,0.4,2.27,2250.5
Glass,Vinyl Ester,2.07,15,125.2,0.62,0.78,1357.7
Glass,Vinyl Ester,1.54,15,148.1,0.69,1.67,1348.1
Glass,Polyester,1.49,24,84.6,0.67,1.57,1236.0
Basalt,Epoxy,1.54,17,119.3,0.58,1.43,1953.7
Glass,Vinyl Ester,1.71,10,143.3,0.66,3.35,938.1
Basalt,Phenolic,1.84,6,130.6,0.66,1.98,987.2
Basalt,Epoxy,1.73,22,63.7,0.59,3.48,1413.6
Aramid,Phenolic,1.95,20,153.8,0.64,0.79,2465.2
Glass,Polyester,1.66,10,147.7,0.38,1.03,874.0
Aramid,Vinyl Ester,1.54,22,90.2,0.44,3.36,1462.6
Glass,Vinyl Ester,1.55,19,96.7,0.44,0.95,1208.1
Basalt,Epoxy,1.68,12,154.4,0.58,1.8,1791.3
Basalt,Polyester,2.08,17,108.8,0.48,1.62,1304.4
Basalt,Epoxy,1.41,17,134.4,0.62,1.58,2051.4
Carbon,Epoxy,2.09,8,63.5,0.4,1.47,1905.0
Carbon,Vinyl Ester,2.04,10,62.0,0.68,2.38,1862.7
Basalt,Phenolic,2.12,19,107.2,0.56,2.06,1481.3
Glass,Epoxy,1.54,11,75.8,0.61,2.72,989.8
Carbon,Vinyl Ester,1.61,14,104.2,0.4,1.74,2168.0
Carbon,Epoxy,1.87,14,103.9,0.63,2.57,2681.9
Aramid,Vinyl Ester,1.47,7,110.3,0.68,2.21,1284.9
Aramid,Epoxy,1.41,11,153.4,0.7,1.51,2401.3
Carbon,Vinyl Ester,1.97,17,77.9,0.64,0.85,2805.0
Carbon,Polyester,1.67,8,66.8,0.62,2.04,1575.5
Basalt,Phenolic,1.71,24,122.7,0.37,2.87,1293.4
Aramid,Phenolic,2.06,23,102.1,0.38,2.76,1483.6
Carbon,Vinyl Ester,2.01,15,83.9,0.5,1.38,2360.8
Basalt,Vinyl Ester,1.72,21,100.1,0.43,1.29,1558.3
Aramid,Phenolic,2.0,11,138.3,0.36,1.97,1345.0
Basalt,Epoxy,1.95,22,71.0,0.5,1.79,1740.3
Basalt,Epoxy,1.79,13,126.9,0.48,2.37,1528.5
Aramid,Vinyl Ester,2.19,12,110.4,0.67,0.78,1911.4
Basalt,Vinyl Ester,2.2,7,121.3,0.38,2.78,809.0
Carbon,Epoxy,1.86,24,82.4,0.44,2.12,2850.0
Glass,Epoxy,2.12,10,121.2,0.68,1.27,1327.4
Carbon,Phenolic,1.76,17,137.1,0.66,0.53,3181.8
Glass,Phenolic,2.07,8,131.9,0.42,1.72,748.5
Carbon,Phenolic,1.89,13,85.5,0.61,1.11,2266.3
Glass,Phenolic,1.51,16,134.2,0.69,1.1,1395.1
Glass,Polyester,1.44,20,153.5,0.48,1.56,1169.1
Glass,Vinyl Ester,1.58,23,134.3,0.35,2.4,1099.7
Glass,Polyester,1.78,11,146.2,0.49,0.67,1039.7
Basalt,Epoxy,2.1,10,156.6,0.52,2.03,1539.0
Carbon,Epoxy,1.95,20,120.1,0.4,0.99,3239.9
Aramid,Epoxy,1.89,20,60.6,0.52,1.79,2075.6
Glass,Epoxy,1.71,8,60.1,0.46,1.52,911.9
Glass,Vinyl Ester,2.16,7,146.6,0.47,1.79,853.9
Carbon,Phenolic,1.75,11,121.9,0.45,3.01,1666.3
Aramid,Phenolic,1.63,6,128.2,0.39,1.56,1162.4
Aramid,Vinyl Ester,1.59,12,123.1,0.58,2.68,1519.2
Glass,Polyester,1.99,18,156.8,0.65,1.37,1354.6
Basalt,Vinyl Ester,1.97,14,93.0,0.49,2.38,1194.9
Glass,Vinyl Ester,1.9,11,68.6,0.46,1.92,824.7
Carbon,Polyester,1.99,15,71.7,0.45,1.26,1978.2
Basalt,Phenolic,1.94,12,105.5,0.49,0.71,1371.4
Carbon,Phenolic,1.96,14,146.3,0.68,1.84,2610.8
Carbon,Phenolic,2.02,21,87.0,0.68,1.41,2732.5
Basalt,Vinyl Ester,1.91,6,131.5,0.41,1.7,897.9
Glass,Polyester,1.7,18,108.4,0.53,2.48,945.8
Basalt,Phenolic,1.67,16,108.5,0.58,0.82,1585.2
Carbon,Phenolic,1.44,14,127.3,0.63,1.9,2442.8
Carbon,Vinyl Ester,2.1,10,106.1,0.56,1.09,2246.4
Basalt,Epoxy,2.01,15,89.8,0.42,0.88,1703.9
Aramid,Polyester,1.4,23,71.6,0.52,1.57,1708.3
Aramid,Vinyl Ester,2.06,10,124.4,0.53,3.49,1218.8
Basalt,Phenolic,2.11,9,108.9,0.41,2.58,930.1
Basalt,Epoxy,2.1,20,137.7,0.43,1.46,1985.4
Carbon,Epoxy,1.56,18,154.4,0.67,1.9,3664.6
Aramid,Vinyl Ester,1.57,15,61.6,0.39,0.59,1613.1
Glass,Polyester,2.0,7,87.9,0.39,1.32,606.5
Aramid,Phenolic,1.5,11,133.6,0.56,0.74,1830.3
Carbon,Epoxy,1.64,8,73.7,0.56,0.6,2351.5
Carbon,Polyester,1.41,13,156.1,0.42,3.23,1729.9
Aramid,Vinyl Ester,1.87,6,107.8,0.6,2.93,989.1
Glass,Epoxy,1.53,7,82.6,0.51,2.16,839.9
Carbon,Vinyl Ester,1.67,7,133.7,0.65,0.8,2193.6
Aramid,Polyester,1.97,20,90.9,0.65,2.12,1716.6
Carbon,Phenolic,1.62,12,114.1,0.58,1.33,2342.5
Basalt,Phenolic,1.86,8,77.7,0.39,1.29,908.4
Carbon,Vinyl Ester,1.46,24,76.9,0.59,3.39,2150.8
Aramid,Polyester,2.12,19,137.5,0.46,2.08,1727.5
Aramid,Polyester,1.45,17,132.9,0.62,0.69,2099.4
Carbon,Vinyl Ester,1.59,19,110.7,0.57,3.06,2253.0
Glass,Vinyl Ester,1.76,16,72.5,0.51,1.77,1007.6
Carbon,Vinyl Ester,2.18,16,148.6,0.57,1.22,2894.1
Aramid,Epoxy,1.91,16,96.2,0.63,2.72,1938.5
Basalt,Phenolic,1.65,6,94.2,0.35,1.39,806.1
Carbon,Vinyl Ester,1.54,23,121.7,0.56,2.26,2792.5
Basalt,Epoxy,1.58,13,124.7,0.57,0.84,1934.2
Glass,Polyester,1.78,11,95.9,0.44,0.83,921.8
Basalt,Polyester,1.46,13,123.6,0.64,1.96,1333.7
Carbon,Epoxy,2.04,7,111.7,0.64,3.48,1791.3
Glass,Polyester,1.56,15,155.6,0.58,3.38,974.1
Basalt,Vinyl Ester,2.16,13,143.6,0.57,1.03,1649.5
Glass,Vinyl Ester,1.7,22,143.5,0.53,2.17,1319.9
Basalt,Epoxy,1.41,22,63.0,0.58,2.4,1649.0
Aramid,Phenolic,2.16,7,79.0,0.44,1.23,1105.9
Carbon,Vinyl Ester,1.6,10,135.5,0.57,2.26,2052.0
Basalt,Phenolic,1.84,6,67.4,0.55,3.26,672.7
Glass,Phenolic,1.41,9,118.3,0.65,3.36,764.2
Glass,Vinyl Ester,1.46,9,63.6,0.61,2.64,774.2
Aramid,Epoxy,2.13,24,122.4,0.45,1.68,2507.5
Carbon,Phenolic,2.03,12,128.8,0.7,2.5,2257.7
Glass,Polyester,1.87,13,108.3,0.62,1.82,997.8
Glass,Phenolic,1.94,23,97.4,0.56,3.46,910.9
Carbon,Epoxy,1.44,12,86.6,0.51,3.3,2033.1
Aramid,Phenolic,1.42,19,114.4,0.42,2.41,1557.2
Basalt,Vinyl Ester,2.19,9,153.9,0.38,2.9,958.3
Basalt,Polyester,1.92,13,79.4,0.59,2.86,1054.3
Aramid,Vinyl Ester,1.51,23,154.7,0.62,0.85,2672.2
Basalt,Vinyl Ester,2.07,24,130.1,0.58,1.25,1928.3
Aramid,Vinyl Ester,1.98,9,125.0,0.61,2.36,1404.1
Basalt,Phenolic,1.81,7,159.7,0.57,2.76,967.1
Aramid,Epoxy,1.82,6,92.2,0.51,2.23,1256.0
Carbon,Vinyl Ester,1.99,20,101.1,0.38,2.36,2206.0
Basalt,Vinyl Ester,2.16,10,151.7,0.36,2.91,1014.4
Glass,Vinyl Ester,1.72,11,94.5,0.37,1.53,857.6
Basalt,Polyester,1.81,20,105.2,0.56,1.3,1507.4
Glass,Polyester,1.9,18,148.9,0.62,2.25,1154.9
Carbon,Phenolic,1.78,8,129.4,0.48,1.22,1919.0
Carbon,Phenolic,1.88,23,75.3,0.57,1.85,2483.4
Glass,Epoxy,1.67,17,133.1,0.69,2.08,1561.0
Basalt,Epoxy,1.57,19,118.7,0.56,1.42,1975.4
Basalt,Epoxy,1.9,8,93.8,0.45,1.54,1248.6
Glass,Phenolic,2.08,23,112.6,0.42,2.66,1007.0
Carbon,Polyester,1.99,19,150.6,0.46,2.89,2136.3
Aramid,Phenolic,1.54,9,60.1,0.58,0.95,1372.2
Glass,Epoxy,1.53,23,126.9,0.64,1.88,1678.6
Aramid,Phenolic,1.87,6,153.2,0.5,1.84,1205.6
Glass,Epoxy,1.91,22,154.6,0.62,1.07,1904.2
Glass,Polyester,1.48,8,87.7,0.59,2.14,698.5
Carbon,Vinyl Ester,1.53,21,151.9,0.52,2.87,2527.1
Glass,Polyester,1.49,20,64.6,0.47,0.68,1005.4
Aramid,Epoxy,1.47,6,139.9,0.36,1.2,1459.3
Basalt,Epoxy,1.43,14,157.8,0.62,2.83,1678.3
Glass,Vinyl Ester,1.81,18,125.2,0.48,2.85,1025.7
Aramid,Polyester,1.96,6,118.4,0.44,2.88,895.3
Carbon,Polyester,1.41,12,87.8,0.37,1.97,1640.0
Aramid,Vinyl Ester,1.73,24,90.4,0.46,3.21,1572.2
Glass,Polyester,1.57,10,157.7,0.49,1.55,943.5
Aramid,Vinyl Ester,1.91,20,77.6,0.68,3.17,1626.7
Glass,Phenolic,1.4,14,132.9,0.49,0.8,1134.2
Basalt,Vinyl Ester,1.64,7,104.1,0.4,2.06,884.0
Carbon,Polyester,1.83,18,128.8,0.59,3.35,1992.9
Basalt,Phenolic,1.61,11,82.3,0.51,0.56,1244.9
Glass,Vinyl Ester,1.49,22,92.5,0.38,1.58,1026.7
Carbon,Polyester,1.64,12,60.3,0.43,3.27,1348.2
Aramid,Phenolic,1.72,14,146.8,0.36,2.28,1478.0
Basalt,Phenolic,2.0,13,107.3,0.61,1.27,1435.5
Glass,Polyester,1.4,19,126.6,0.45,1.65,1055.8
Basalt,Polyester,1.73,16,107.5,0.41,0.77,1358.8
Carbon,Vinyl Ester,1.6,17,135.8,0.42,3.22,2064.4
Glass,Polyester,1.55,18,113.2,0.46,1.65,1015.7
Aramid,Epoxy,1.93,20,102.5,0.64,3.08,2064.4
Aramid,Vinyl Ester,1.45,15,140.8,0.54,1.52,1964.2
Carbon,Polyester,1.99,23,137.7,0.46,0.65,2921.4
Basalt,Epoxy,2.03,24,117.2,0.5,0.55,2268.9
Aramid,Epoxy,2.1,14,111.8,0.68,3.17,1875.8
Aramid,Polyester,1.95,10,155.3,0.43,0.89,1533.1
Basalt,Phenolic,2.05,19,157.6,0.47,2.39,1462.4
Aramid,Vinyl Ester,2.14,14,92.7,0.62,1.02,1864.1
Aramid,Epoxy,1.42,21,130.1,0.51,1.92,2402.4
Carbon,Phenolic,1.85,18,70.1,0.65,2.14,2299.1
Glass,Polyester,2.15,24,151.6,0.63,0.92,1524.4
Glass,Polyester,1.55,8,116.8,0.62,2.65,712.2
Glass,Phenolic,1.71,17,103.3,0.47,2.6,908.1
Carbon,Phenolic,1.97,22,115.2,0.5,2.06,2541.1
Basalt,Vinyl Ester,2.2,19,132.2,0.37,2.78,1295.5
Basalt,Epoxy,2.16,18,77.7,0.39,3.38,1215.5
Basalt,Epoxy,1.8,11,73.1,0.52,1.7,1423.7
Glass,Phenolic,1.92,12,140.8,0.39,2.38,842.3
Basalt,Epoxy,2.2,10,71.7,0.57,3.05,1108.2
Carbon,Vinyl Ester,1.57,22,114.6,0.65,2.56,2730.8
Glass,Phenolic,1.61,13,145.2,0.51,1.3,1130.6
Carbon,Polyester,2.14,22,122.8,0.53,1.95,2454.9
Carbon,Epoxy,1.65,19,141.0,0.36,3.29,2471.1
Carbon,Vinyl Ester,2.0,14,112.1,0.39,2.21,2029.7
Aramid,Polyester,1.43,7,88.1,0.37,1.38,984.3
Carbon,Polyester,1.74,22,133.6,0.47,2.34,2303.9
Glass,Epoxy,2.19,6,120.5,0.43,2.05,769.6
Aramid,Polyester,2.18,23,142.2,0.63,3.42,1688.1
Glass,Vinyl Ester,2.13,7,113.9,0.62,0.6,946.5
Basalt,Epoxy,2.13,20,99.8,0.53,1.47,1974.2
Glass,Phenolic,1.98,21,67.2,0.36,1.09,1006.9
Carbon,Vinyl Ester,1.75,9,111.2,0.38,0.95,1947.6
Basalt,Epoxy,1.59,7,86.1,0.58,0.72,1364.3
Basalt,Epoxy,2.08,9,157.4,0.65,1.26,1698.2
Carbon,Epoxy,1.9,24,97.2,0.55,2.93,2895.0
Aramid,Phenolic,2.18,13,64.6,0.52,3.29,1182.0
Basalt,Phenolic,1.9,23,81.7,0.48,1.41,1499.2
Carbon,Vinyl Ester,1.71,8,111.5,0.52,1.36,1972.2
Glass,Phenolic,1.82,22,129.2,0.43,2.22,1117.0
Basalt,Polyester,1.53,15,157.0,0.41,1.25,1374.9
Glass,Vinyl Ester,1.91,18,60.6,0.39,2.18,866.6
Glass,Epoxy,1.69,20,63.2,0.65,3.32,1127.9
Aramid,Polyester,2.13,9,83.3,0.39,2.29,997.4
Glass,Phenolic,2.12,11,154.3,0.63,2.09,1063.4
Glass,Phenolic,2.0,9,83.9,0.64,1.91,807.0
Glass,Polyester,1.61,14,99.1,0.42,3.12,761.7
Glass,Vinyl Ester,1.85,17,83.3,0.56,3.25,929.6
Aramid,Phenolic,2.05,10,87.2,0.56,1.5,1402.6
Carbon,Epoxy,2.16,20,137.5,0.67,1.35,3923.1
Glass,Polyester,1.48,16,137.0,0.52,0.86,1199.6
Basalt,Polyester,1.9,8,148.5,0.5,2.19,992.3
Carbon,Phenolic,1.6,16,83.5,0.59,2.05,2247.6
Basalt,Polyester,1.63,19,151.2,0.53,1.28,1566.2
Aramid,Epoxy,1.76,23,149.2,0.55,2.67,2413.5
Glass,Polyester,1.8,23,130.7,0.48,2.53,1012.0
Carbon,Epoxy,1.69,20,155.9,0.48,1.38,3635.9
Basalt,Epoxy,1.58,10,140.1,0.44,0.51,1746.8
Basalt,Phenolic,1.76,12,109.8,0.44,2.85,997.0
Carbon,Vinyl Ester,1.62,16,81.9,0.5,2.36,2112.6
Basalt,Vinyl Ester,2.16,19,145.8,0.4,0.72,1774.9
Basalt,Polyester,2.16,22,67.9,0.48,1.71,1264.6
Aramid,Vinyl Ester,1.91,10,130.4,0.62,1.42,1708.6
Aramid,Phenolic,1.63,19,129.0,0.68,2.93,1813.4
Carbon,Epoxy,1.54,8,92.2,0.4,3.46,1536.7
Glass,Vinyl Ester,1.73,7,155.2,0.69,1.41,981.9
Basalt,Epoxy,1.47,9,145.5,0.47,1.05,1604.3
Carbon,Epoxy,1.81,21,125.4,0.36,2.57,2689.8
Carbon,Epoxy,2.03,13,109.0,0.53,2.05,2656.3
Carbon,Polyester,1.81,9,80.9,0.7,3.1,1544.4
Carbon,Vinyl Ester,1.85,15,110.2,0.62,3.39,2079.7
Aramid,Polyester,1.5,24,132.3,0.45,2.32,1747.4
Aramid,Phenolic,1.85,8,105.3,0.53,2.59,1100.8
Basalt,Polyester,1.93,8,115.8,0.38,3.36,732.3
Aramid,Phenolic,1.76,21,62.7,0.42,3.15,1295.8
Aramid,Vinyl Ester,1.58,11,90.2,0.49,1.43,1541.6
Carbon,Polyester,2.05,24,138.0,0.67,0.92,3259.7
Carbon,Phenolic,1.44,19,83.7,0.55,2.85,2002.5
Carbon,Phenolic,1.42,18,122.4,0.36,1.94,2192.0
Basalt,Vinyl Ester,1.97,21,101.3,0.65,3.41,1361.4
Glass,Phenolic,1.7,21,159.5,0.42,0.89,1343.3
Basalt,Polyester,2.08,22,94.8,0.69,3.49,1258.1
Aramid,Epoxy,1.61,13,115.4,0.68,3.13,1874.5
Glass,Vinyl Ester,1.45,19,120.9,0.61,1.29,1342.3
Basalt,Epoxy,2.04,6,92.5,0.52,3.33,926.8
Glass,Polyester,1.69,16,145.5,0.43,2.17,978.8
Aramid,Phenolic,1.48,19,154.5,0.51,1.76,1984.9
Aramid,Epoxy,1.44,8,97.7,0.38,2.37,1293.9
Aramid,Phenolic,1.46,20,72.1,0.41,1.93,1554.0
Aramid,Vinyl Ester,1.66,13,118.9,0.4,1.24,1649.1
Basalt,Phenolic,1.58,22,124.6,0.4,1.12,1554.1
Aramid,Phenolic,2.14,22,92.0,0.47,1.2,1876.7
Carbon,Vinyl Ester,2.16,24,139.4,0.68,3.13,2746.0
Basalt,Epoxy,1.53,22,125.6,0.69,1.95,2149.2
Aramid,Polyester,1.6,14,75.1,0.4,2.06,1233.8
Carbon,Epoxy,1.85,9,91.6,0.56,2.48,2078.8
Aramid,Phenolic,1.42,12,71.1,0.37,1.15,1297.2
Carbon,Polyester,1.66,20,108.2,0.51,2.86,2041.6
Carbon,Epoxy,1.73,10,86.1,0.7,2.8,2255.4
Basalt,Epoxy,1.42,15,70.7,0.41,0.61,1644.9
Aramid,Epoxy,1.91,23,119.4,0.48,1.02,2635.9
Basalt,Phenolic,1.55,20,135.9,0.36,1.64,1415.6
Carbon,Epoxy,1.67,20,155.2,0.55,1.42,3791.4
Carbon,Vinyl Ester,1.59,7,130.1,0.52,1.22,1988.8
Carbon,Polyester,1.47,24,92.8,0.4,3.22,1852.7
Carbon,Epoxy,1.72,9,141.5,0.52,1.04,2717.7
Aramid,Vinyl Ester,1.68,22,130.0,0.35,0.82,2020.5
Basalt,Phenolic,1.75,8,145.2,0.42,2.64,978.9
Aramid,Phenolic,1.93,22,124.0,0.5,3.12,1634.5
Carbon,Polyester,2.0,15,103.6,0.37,3.35,1545.8
Basalt,Polyester,1.49,12,135.0,0.55,1.97,1217.2
Basalt,Epoxy,1.78,13,138.2,0.38,2.63,1410.4
Glass,Vinyl Ester,1.83,7,69.2,0.46,3.14,617.4
Carbon,Phenolic,2.03,20,84.2,0.44,1.24,2415.1
Aramid,Vinyl Ester,1.66,9,144.4,0.57,1.38,1631.9
Carbon,Vinyl Ester,1.68,6,150.3,0.43,2.96,1408.7
Basalt,Vinyl Ester,1.53,7,92.2,0.64,0.61,1267.4
Aramid,Epoxy,1.74,21,93.7,0.38,2.72,1862.5
Basalt,Epoxy,1.45,22,79.2,0.55,0.7,2076.2
Basalt,Phenolic,1.54,8,130.3,0.58,1.62,1161.2
Basalt,Phenolic,1.75,13,98.7,0.68,1.67,1385.5
Basalt,Vinyl Ester,1.5,22,91.5,0.48,0.59,1730.5
Basalt,Polyester,2.09,14,136.5,0.53,2.85,1203.6
Aramid,Epoxy,1.45,12,137.2,0.62,0.92,2419.3
Carbon,Vinyl Ester,1.87,24,88.7,0.52,3.43,2158.4
Carbon,Polyester,1.41,16,151.3,0.51,0.91,2635.4
Basalt,Phenolic,1.71,13,69.7,0.55,0.55,1382.3
Basalt,Polyester,2.14,19,128.4,0.57,1.43,1546.8
Basalt,Epoxy,1.44,23,112.7,0.65,0.64,2413.9
Aramid,Vinyl Ester,1.93,16,155.3,0.42,3.44,1466.5
Glass,Vinyl Ester,1.75,21,100.1,0.66,2.77,1112.9
Basalt,Polyester,2.02,6,114.3,0.69,1.77,932.9
Carbon,Epoxy,1.93,17,124.5,0.59,1.79,3222.1
Carbon,Vinyl Ester,1.78,11,131.7,0.46,2.48,1971.2
Glass,Phenolic,1.94,24,139.1,0.51,1.86,1278.6
Carbon,Phenolic,1.83,13,92.8,0.55,2.68,1914.4
Basalt,Polyester,1.75,10,129.7,0.53,1.44,1156.3
Aramid,Vinyl Ester,1.74,20,148.5,0.46,2.94,1766.5
Basalt,Vinyl Ester,1.41,14,79.0,0.37,2.0,1109.6
Carbon,Polyester,1.78,22,124.3,0.49,0.6,2821.6
Basalt,Phenolic,1.54,19,83.3,0.6,2.82,1312.1
Aramid,Phenolic,1.62,19,129.5,0.54,2.15,1810.6
Carbon,Vinyl Ester,1.45,22,60.6,0.63,1.77,2668.0
Basalt,Polyester,1.63,10,86.3,0.54,0.75,1167.2
Aramid,Epoxy,1.82,9,133.5,0.41,1.52,1727.5
Carbon,Vinyl Ester,1.93,22,72.2,0.36,3.01,1892.0
